Case Number,Address House Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Zip,Date Case Generated,Date Case Closed,Case Type,Response Days,Status of Case,lat,long
703449,4000,W,INGRAHAM,ST,90005,11/20/2015,,GENERAL,,O,34.06065,-118.31461
703454,13027,W,SKY VALLEY,ROAD,90049,11/20/2015,,GENERAL,,O,34.12708,-118.50773
703457,1350,N,DAVIES,DR,90210,11/21/2015,,GENERAL,,O,34.09536,-118.43615
703458,3002,N,VISTACREST,DR,90068,11/21/2015,,GENERAL,,O,34.12298,-118.34621
703459,15448,W,CAMARILLO,ST,91403,11/21/2015,,GENERAL,,O,34.15746,-118.47105
703460,9832,W,YOAKUM,DR,90210,11/21/2015,,GENERAL,,O,34.11196,-118.43303
703470,801,E,25TH,ST,90011,11/23/2015,,GENERAL,,O,34.02165,-118.25865
703438,8126,N,REDBUSH,LANE,91402,11/20/2015,,GENERAL,,O,34.2192,-118.43724
737302,531,W,60TH,ST,90044,9/22/2016,,GENERAL,,O,33.9852,-118.28369
737305,500,W,60TH,ST,90044,9/22/2016,,GENERAL,,O,33.98496,-118.28297
703378,1385,S,WESTWOOD,BLVD,90024,11/19/2015,,GENERAL,,O,34.05543,-118.44206
703541,14932,W,OXNARD,ST,91411,11/23/2015,,VEIP,,O,34.17921,-118.45867
703698,12948,W,KAGEL CANYON,ST,91331,11/23/2015,,GENERAL,,O,34.25547,-118.41474
703699,11460,N,PRAGER,AVE,91342,11/23/2015,,GENERAL,,O,34.27865,-118.39235
703726,8731,W,3RD,ST,90048,11/24/2015,,GENERAL,,O,34.07372,-118.38275
703729,5726,N,TYRONE,AVE,91401,11/24/2015,,GENERAL,,O,34.17472,-118.4442
703830,442,W,MANCHESTER,AVE,90293,11/24/2015,,GENERAL,,O,33.95615,-118.44277
703834,11551,N,DRONFIELD,AVE,91331,11/24/2015,,GENERAL,,O,34.27951,-118.40646
703836,11621,W,SATICOY,ST,91605,11/24/2015,,GENERAL,,O,34.2086,-118.38526
703846,1343,W,KELLAM,AVE,90026,11/24/2015,,GENERAL,,O,34.07054,-118.2541
703849,8515,N,ORION,AVE,91343,11/24/2015,,GENERAL,,O,34.22503,-118.47223
703850,12065,W,BRANFORD,ST,91331,11/24/2015,,VEIP,,O,34.25379,-118.39598
703853,2813,S,DALTON,AVE,90018,11/24/2015,,GENERAL,,O,34.02958,-118.30427
703858,6527,W,87TH,ST,90045,11/24/2015,,GENERAL,,O,33.95872,-118.40282
703847,1346,N,AVENUE 45,,90041,11/24/2015,,GENERAL,,O,34.12044,-118.21763
703852,3875,W,WILSHIRE,BLVD,90010,11/24/2015,,GENERAL,,O,34.06188,-118.3112
703841,1977,N,GRAMERCY,PL,90068,11/24/2015,,GENERAL,,O,34.10763,-118.31317
737313,2350,S,VETERAN,AVE,90064,9/22/2016,,GENERAL,,O,34.03962,-118.43197
737314,12720,W,MONTAGUE,ST,91331,9/22/2016,,GENERAL,,O,34.24818,-118.41027
737315,13158,W,FILMORE,ST,91331,9/22/2016,,GENERAL,,O,34.27305,-118.41959
703860,13838,W,MILBANK,ST,91423,11/24/2015,,GENERAL,,O,34.1529,-118.43455
703862,6441,W,87TH,ST,90045,11/24/2015,,GENERAL,,O,33.95857,-118.40067
703865,1015,S,AVERILL,AVE,90732,11/25/2015,,GENERAL,,O,33.73506,-118.30789
704249,1665,S,KINGSLEY,DR,90006,12/1/2015,,GENERAL,,O,34.04313,-118.30351
