Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
407695,2734,,S,MEDLOW,AVE,,90065,3/1/2011,,157-5A219 217,GENERAL,East Los Angeles,,O,34.12573,-118.2254,2011
408088,5855,,N,ROLLING,ROAD,,91367,3/3/2011,,177B101   302,GENERAL,South Valley,,O,34.17728,-118.60695,2011
408126,4313,,W,PICO,BLVD,,90019,3/3/2011,,129B185  1026,GENERAL,Central,,O,34.04814,-118.32844,2011
407700,3405,,S,ABALONE,AVE,,90732,3/1/2011,,009B189    91,GENERAL,Harbor,,O,33.72289,-118.32112,2011
407726,6363,,W,WILSHIRE,BLVD,,90048,3/2/2011,,135B173   823,GENERAL,Central,,O,34.06385,-118.3674,2011
408117,9713,,S,DENKER,AVE,,90047,3/3/2011,,093A195   293,GENERAL,South Los Angeles,,O,33.94721,-118.30478,2011
408155,2627,,N,HURON,ST,,90065,3/3/2011,,142-5A219  94,GENERAL,East Los Angeles,,O,34.0852,-118.22248,2011
708617,2691,,E,THORPE,AVE,,90065,1/15/2016,,145-5A219 243,GENERAL,East Los Angeles,,O,34.09258,-118.22515,2016
408133,226,,W,21ST,ST,,90007,3/3/2011,,123A205   143,GENERAL,South Los Angeles,,O,34.02993,-118.26864,2011
408138,8005,,S,FIGUEROA,ST,,90003,3/3/2011,,099B201   809,GENERAL,South Los Angeles,,O,33.96646,-118.28296,2011
408148,9065,,S,NORMANDIE,AVE,,90047,3/3/2011,,094-5A195  53,GENERAL,South Los Angeles,,O,33.95461,-118.30051,2011
408149,220,,W,21ST,ST,,90007,3/3/2011,,123A205   151,GENERAL,South Los Angeles,,O,34.0299,-118.26855,2011
408400,1247,,W,38TH,ST,,90037,3/7/2011,,117B197   496,GENERAL,South Los Angeles,,O,34.01743,-118.29888,2011
408460,8611,,N,KESTER,AVE,,91402,3/8/2011,,192B149    30,GENERAL,North Valley,,O,34.22682,-118.45761,2011
708692,22255,,W,CHATSWORTH,ST,,91311,1/19/2016,,207B101    61,GENERAL,North Valley,,O,34.26453,-118.61234,2016
708698,16521,,W,HIAWATHA,ST,,91344,1/19/2016,,204B137    21,GENERAL,North Valley,,O,34.25967,-118.49174,2016
708758,20027,,W,LANARK,ST,,91306,1/19/2016,,189B113    30,GENERAL,South Valley,,O,34.21812,-118.56957,2016
709963,6537,,N,COLUMBUS,AVE,,91411,1/28/2016,,180B145   471,GENERAL,South Valley,,O,34.18961,-118.46416,2016
709984,6656,,W,HOLLYWOOD,BLVD,,90028,1/29/2016,,148-5A185 137,GENERAL,Central,,O,34.10134,-118.33536,2016
408395,2137,,N,ALTA,ST,,90031,3/7/2011,,136-5A225  17,GENERAL,East Los Angeles,,O,34.07019,-118.20395,2011
408142,6514,,E,POLLARD,ST,,90042,3/3/2011,,154-5A233  50,GENERAL,East Los Angeles,,O,34.11911,-118.17666,2011
519725,5661,,E,FALLSTON,ST,,90042,10/28/2013,,157-5A227 373,GENERAL,East Los Angeles,,O,34.12386,-118.19495,2013
519855,1014,,N,FORTUNE,WAY,,90042,10/29/2013,,157-5A235 139,GENERAL,East Los Angeles,,O,34.12471,-118.1697,2013
408966,3144,,S,MOUNTAIN VIEW,AVE,,90066,3/11/2011,,117B153   490,GENERAL,West Los Angeles,,O,34.01777,-118.44164,2011
409166,5160,,N,LLANO,DR,,91364,3/14/2011,,171B101   876,GENERAL,South Valley,,O,34.16293,-118.61236,2011
409468,7538,,N,QUARTZ,AVE,,91306,3/14/2011,,186B117   326,GENERAL,South Valley,,O,34.20721,-118.56415,2011
